Customer_ID,Frequency,Monetary,Recency
1,2,16.29,344
2,2,22.77,195
3,3,10.92,364
4,5,33.29,52
5,5,78.82,179
6,3,25.55,275
7,1,17.84,87
8,1,9.78,193
9,1,15.75,286
10,1,110.31,323
11,1,6.35,337
12,1,21.0,359
13,3,53.24,324
14,8,308.43,288
15,1,3.82,357
16,2,62.160000000000004,257
17,3,31.84,355
18,1,1.9,346
19,2,99.94999999999999,262
20,4,28.25,302
21,1,9.35,287
22,1,6.75,351
23,1,1.84,101
24,4,57.17,323
25,3,7.98,310
26,12,100.87,273
27,2,14.629999999999999,129
28,2,28.69,343
29,1,13.83,268
30,8,86.25999999999999,258
31,2,7.16,285
32,2,5.3100000000000005,252
33,6,56.21,277
34,1,6.35,284
35,1,4.71,341
36,5,112.9,262
37,1,2.49,334
38,2,12.620000000000001,183
39,1,10.98,358
40,8,141.87,331
41,4,22.03,354
42,3,30.349999999999998,99
43,6,36.31,262
44,20,152.76,93
45,5,57.22,200
46,7,100.72,272
47,4,18.919999999999998,129
48,8,259.96,283
49,2,12.34,290
50,5,35.59,334
51,2,40.85,308
52,5,17.93,310
53,1,8.65,275
54,3,15.96,256
55,2,26.959999999999997,296
56,3,10.83,299
57,5,50.64,273
58,1,5.79,331
59,3,11.4,286
60,1,6.24,362
61,2,12.42,308
62,2,12.610000000000001,280
63,8,48.42,301
64,1,176.37,308
65,10,72.16,269
66,2,23.83,295
67,3,86.42,198
68,2,16.91,299
69,2,12.18,345
70,5,55.15,353
71,2,12.510000000000002,256
72,1,13.68,318
73,1,2.11,317
74,5,55.31,316
75,5,66.85,347
76,2,16.37,285
77,4,25.12,152
78,3,85.91,358
79,3,10.950000000000001,330
80,1,11.37,351
81,1,5.59,311
82,2,13.299999999999999,170
83,5,45.82,319
84,6,30.52,134
85,4,42.41,261
86,1,6.07,350
87,2,14.65,161
88,2,15.8,347
89,2,15.27,283
90,1,4.02,292
91,6,86.07000000000001,317
92,2,4.37,294
