userid,age,gender,city,count_sessions,time_first,time_last,time_last_purchase,time_full,time_full_s,value,value_c1,value_c2,value_c3,value_c4,value_c5,value_c6,age_bins,age_bins_name
10000,42,Ж,Красноярск,559,2021-12-30 12:28:45,2025-01-03 00:31:55,2024-11-15 23:56:50,0 days 09:41:10,34870,398622.32,801447.2769491468,870681.8305215429,866798.1370822368,623283.280609161,815480.0660658939,919712.7973256708,4,36-48
10001,51,Ж,Омск,555,2021-12-30 03:21:27,2025-01-02 16:06:14,2024-12-18 15:57:54,0 days 10:32:26,37946,408376.03,1013800.5671589656,640836.0900748543,883147.226346292,949609.5696527126,1089472.120443032,674091.8596443572,5,48-60
10002,25,М,Санкт-Петербург,562,2021-12-28 08:25:21,2025-01-02 20:08:25,2024-12-25 20:02:52,0 days 09:30:10,34210,226000.78,707001.1782455221,881187.0766469188,599606.5675565402,522635.776955735,842928.3512393198,946729.2761589533,3,25-35
10003,34,М,Волгоград,550,2021-12-28 19:09:17,2025-01-01 07:13:57,2024-12-13 07:03:21,0 days 09:51:52,35512,236511.0,1010397.585149359,864270.443790641,739507.8944933239,773907.1563228748,1041259.1303891151,903942.9574992863,3,25-35
10004,29,Ж,Москва,585,2021-12-26 23:21:19,2025-01-03 12:20:48,2024-12-31 12:19:44,0 days 10:26:41,37601,214624.0,631506.1701610594,1023260.0579717527,606274.6684420974,1238430.7819919812,1051988.5244999193,818574.7891977828,3,25-35
10005,18,М,Нижний Новгород,534,2021-12-28 14:22:45,2025-01-02 02:56:32,2024-12-26 02:51:00,0 days 10:27:25,37645,236027.0,1128230.752740124,756687.95178721,1037747.2409299419,1101959.2015892165,734213.5977635852,563597.1056380456,2,16-24
10006,25,Ж,Самара,575,2021-12-28 14:23:09,2025-01-03 03:29:34,2025-01-03 03:29:34,0 days 10:48:11,38891,206972.49,599932.7042101196,1011365.1592867554,1117356.5135994188,793913.9209026155,634515.8779375055,1199846.5105830794,3,25-35
10007,42,Ж,Москва,563,2021-12-28 00:05:25,2025-01-01 13:12:58,2024-10-11 12:02:57,0 days 10:41:36,38496,289888.52,1004221.9681252359,719329.7106988427,1133279.2868844043,781549.2832496582,967754.5798313463,1189693.087401122,4,36-48
10008,35,М,Москва,559,2021-12-30 08:57:28,2024-12-31 21:47:20,2024-12-29 21:46:46,0 days 10:31:05,37865,255078.0,884733.8888187349,1224846.5720507521,653420.634764391,975673.1190745286,930571.1671833489,681989.0293583797,3,25-35
10009,18,Ж,Москва,555,2021-12-30 07:37:10,2025-01-01 20:24:59,2024-12-08 20:04:42,0 days 10:38:39,38319,167668.86,444935.81171233574,1017975.5445532852,945663.7659402796,710881.1946503995,1224532.1652750892,899140.0399894024,2,16-24
10010,40,Ж,Москва,552,2021-12-27 02:34:42,2024-12-31 15:37:29,2024-12-05 15:12:49,0 days 10:45:08,38708,316328.0,953740.4329000014,845486.9235896713,1264549.8573762602,1188306.3553400089,1317641.3215439403,976035.3042385014,4,36-48
10011,11,Ж,Красноярск,569,2021-12-29 22:49:22,2025-01-03 11:28:47,2025-01-03 11:28:47,0 days 10:23:25,37405,357728.41000000003,917858.6380204629,1230155.6478452955,921068.0712978567,987432.7886596193,974822.95560787,867493.5955714975,1,<16
10012,28,М,Воронеж,548,2021-12-30 05:32:29,2025-01-01 17:17:21,2024-12-27 17:17:02,0 days 09:22:54,33774,200666.0,672431.3701972897,603670.0667093109,1050382.6948673131,810583.2876548942,930026.094995998,980280.8371601405,3,25-35
10013,8,Ж,Омск,581,2021-12-29 10:31:12,2025-01-03 00:02:14,2024-10-30 23:30:50,0 days 11:07:53,40073,254700.26,1056831.1308591182,1007372.5903098014,923520.9029887626,806759.7421202536,1095509.9675507548,1114977.0374757287,1,<16
10014,23,Ж,Самара,553,2021-12-29 08:11:56,2025-01-02 19:55:39,2024-12-15 19:41:17,0 days 09:15:11,33311,191569.0,779888.6200559665,706260.5785974188,903529.1325867857,627896.8239445576,1114547.6984875053,925094.9040142952,2,16-24
10015,38,М,Красноярск,557,2021-12-27 08:49:31,2025-01-01 21:16:31,2025-01-01 21:16:31,0 days 10:14:41,36881,281358.0,695813.3130568959,678974.1608507707,1177029.1187091349,730618.5999170925,999806.6364097978,1139631.607037656,4,36-48
10016,41,М,Волгоград,556,2021-12-29 08:51:45,2025-01-01 21:02:19,2024-12-07 20:31:53,0 days 09:50:47,35447,246574.0,686064.1080816605,909409.0355348444,1047721.3705498393,826065.1509405051,698363.2562015513,741710.985737373,4,36-48
10017,17,Ж,Екатеринбург,561,2021-12-29 18:28:59,2025-01-02 07:59:29,2024-10-14 07:12:22,0 days 11:14:02,40442,190575.35,987035.0707214237,867773.2920110147,1126375.2141236165,862472.6533669326,930050.189530602,978604.9526635857,2,16-24
10018,34,Ж,Екатеринбург,556,2021-12-27 04:14:18,2024-12-31 16:43:47,2024-11-29 16:24:52,0 days 10:07:38,36458,162581.0,819061.8699318839,933063.5781202913,963357.9030446757,1158193.516386786,890758.1398655361,719097.2343184592,3,25-35
10019,23,М,Нижний Новгород,557,2021-12-27 03:40:03,2025-01-01 16:36:35,2024-12-20 16:21:18,0 days 10:33:52,38032,375973.0,904477.6004942028,1052334.264674788,921939.8627648305,794657.5178988336,1223899.3249172906,1034735.6284274854,2,16-24
10020,54,М,Санкт-Петербург,571,2021-12-31 19:08:32,2025-01-01 07:43:07,2024-12-26 07:37:37,0 days 10:18:01,37081,257723.69,845375.5014581245,1182294.6192399834,875195.6548744316,703672.6372188831,929969.8869741217,816964.2729303853,5,48-60
10021,7,М,Москва,545,2021-12-29 22:18:37,2025-01-02 11:12:31,2024-12-28 11:10:10,0 days 10:33:11,37991,319885.0,787891.8320039591,845268.4772607803,1028658.3185363711,652355.3856818477,1021700.7682444825,987217.2877180829,1,<16
10022,21,М,Москва,572,2021-12-31 00:03:01,2025-01-03 13:27:22,2024-12-02 13:13:20,0 days 11:08:29,40109,279526.0,1141776.7239954062,944895.1733492166,1057164.9812918527,643713.959673193,1030751.9000511041,1064737.030267884,2,16-24
10023,63,М,Санкт-Петербург,561,2021-12-28 18:35:21,2025-01-03 06:46:35,2024-12-07 06:34:04,0 days 09:42:09,34929,282908.78,886108.0761114506,766705.4364202302,1053550.0823504585,703644.528712699,966482.9138351261,668710.2055328455,6,>60
10024,46,Ж,Москва,559,2021-12-29 21:04:08,2025-01-03 10:18:45,2024-12-07 09:58:10,0 days 10:49:11,38951,356147.0,920555.6744894685,931199.1309703821,722067.1471195603,981863.04399746,1003750.4409447337,898192.0222930775,4,36-48
10025,72,Ж,Москва,553,2021-12-30 11:27:55,2025-01-01 23:37:22,2024-11-19 23:17:13,0 days 09:45:01,35101,286974.07,983071.7221428142,897505.7260631446,1035327.7854539134,750026.9182622908,1090250.3429659258,1182301.1588546254,6,>60
10026,79,М,Волгоград,555,2021-12-28 11:04:55,2025-01-01 22:30:28,2024-12-30 22:30:07,0 days 09:05:15,32715,237027.82,826927.590109509,822925.5681407315,1036086.2705788885,785088.3527072453,786311.1480216454,613282.8697573964,6,>60
10027,17,Ж,Новосибирск,565,2021-12-29 03:47:13,2025-01-02 15:54:59,2025-01-02 15:54:59,0 days 09:38:55,34735,216409.57,742311.2115308275,890245.9348285357,1056054.9436886713,714445.7989584799,849425.8140819056,680365.9845302904,2,16-24
10028,22,Ж,Красноярск,549,2021-12-27 04:48:11,2025-01-01 17:10:24,2024-12-29 17:10:00,0 days 10:04:28,36268,281008.33999999997,1096225.5644929253,905551.6492534629,747927.8676401492,1153576.4986042273,968576.9460703125,695978.8808725618,2,16-24
10029,14,М,Омск,581,2021-12-27 09:50:09,2024-12-30 23:05:06,2024-11-17 22:38:18,0 days 10:36:35,38195,259838.0,744234.1367180928,1067703.9294222759,938629.0461124943,714227.0578319072,1031093.775914972,1030836.0310791152,1,<16
10030,45,Ж,Москва,542,2021-12-29 19:01:06,2025-01-03 06:59:07,2024-12-27 06:52:28,0 days 09:38:58,34738,345340.0,1060142.7198547497,895927.5628638177,686716.1211865788,813651.836647203,817219.8915129956,775801.713438435,4,36-48
10031,71,Ж,Омск,573,2021-12-31 13:36:42,2025-01-03 02:51:11,2024-12-27 02:48:28,0 days 10:55:59,39359,282419.79000000004,682410.590976486,735588.4055632483,939596.3128252871,1035457.4096715936,978026.5938406276,789074.8211469094,6,>60
10032,33,Ж,Москва,557,2021-12-30 20:35:34,2025-01-01 08:32:09,2024-12-20 08:24:45,0 days 09:33:37,34417,301978.0,1148365.3288719954,867857.798132062,1163285.3762680052,788708.3050911707,797435.6954723363,911405.5075333219,3,25-35
10033,27,Ж,Санкт-Петербург,562,2021-12-31 07:45:47,2025-01-02 20:27:53,2025-01-02 20:27:53,0 days 10:20:46,37246,280647.07,1325819.532637125,962833.3973448804,764415.1887882614,583680.6969711813,1003434.1876518707,797397.8983062517,3,25-35
10034,63,Ж,Москва,554,2021-12-27 20:47:04,2025-01-02 09:28:12,2024-12-10 09:12:07,0 days 10:18:36,37116,295726.72,854671.90967941,909586.1256839318,822903.6708671382,718836.7933490245,929029.8576028157,1036135.4621370917,6,>60
10035,18,Ж,Самара,554,2021-12-27 12:42:25,2025-01-02 00:40:06,2024-12-04 00:24:24,0 days 09:43:09,34989,292420.19,615448.1947739864,996921.5248648124,885565.5286563407,700932.1164201895,1167263.3236479743,1029076.8422404269,2,16-24
10036,47,Ж,Новосибирск,568,2021-12-31 09:29:03,2025-01-02 21:56:50,2024-11-11 21:16:45,0 days 10:02:46,36166,222562.0,903065.0802958115,1074382.188253154,940549.4407865178,564345.4063255595,937156.0189874137,805477.9283197671,4,36-48
10037,46,М,Москва,541,2021-12-30 17:08:26,2025-01-03 05:10:53,2024-12-01 04:57:02,0 days 09:45:08,35108,259723.0,576219.4923974625,1011612.6060901048,1171607.98728654,1034657.7321514406,895805.4075743704,879666.5437952124,4,36-48
10038,14,М,Екатеринбург,584,2021-12-28 20:30:32,2025-01-01 08:31:36,2024-12-06 08:17:02,0 days 09:33:38,34418,374531.0,931100.3238198991,570997.1628246367,768249.1678849066,807703.2329329465,795545.3481755315,1035399.0152102025,1,<16
10039,34,Ж,Самара,556,2021-12-29 13:55:07,2025-01-03 02:12:33,2024-11-17 01:30:02,0 days 09:58:55,35935,292126.93,941651.952174167,811403.422455092,866362.0719954737,988078.0880870713,1159156.5118252833,518559.26643674675,3,25-35
10040,19,Ж,Москва,556,2021-12-28 04:26:11,2025-01-03 17:12:57,2024-12-05 16:46:40,0 days 10:30:30,37830,225804.53,685671.110643992,1031084.6833467536,806970.1701427714,612986.8667691388,1205407.8326770691,542636.8563024519,2,16-24
10041,35,Ж,Казань,558,2021-12-28 18:36:22,2025-01-02 07:33:30,2024-12-29 07:23:44,0 days 10:40:10,38410,358843.0,766199.0010850247,763360.5143532988,787238.6314014402,875014.6964425497,1054408.1456654011,998169.1793287292,3,25-35
10042,16,Ж,Воронеж,555,2021-12-27 10:53:30,2025-01-02 23:33:16,2024-12-01 23:14:39,0 days 10:20:26,37226,283947.0,946204.479603861,967236.7045344557,1115987.3945531475,689022.8199267052,779466.681122459,666662.1413457182,2,16-24
10043,21,М,Самара,558,2021-12-28 19:52:33,2025-01-02 08:15:10,2024-10-18 07:15:15,0 days 10:01:29,36089,193253.0,865224.4096135441,661749.8477628472,503872.37166861584,1273547.3222144835,953041.2510443993,1044507.5864887653,2,16-24
10044,57,М,Москва,553,2021-12-27 18:11:17,2025-01-01 07:13:21,2025-01-01 07:13:21,0 days 10:46:33,38793,354111.03,762208.9467395566,1405011.3228639043,1089762.3157953054,681844.8838042316,1214116.8332189808,949949.1413086108,5,48-60
10045,24,Ж,Нижний Новгород,580,2021-12-29 04:39:56,2025-01-01 17:18:23,2024-12-26 17:13:24,0 days 10:08:37,36517,148345.0,684511.7434343488,767315.8199331814,1094924.0640500642,904474.1480608422,998333.7150629978,820923.3207716222,2,16-24
10046,44,Ж,Новосибирск,536,2021-12-30 16:46:33,2025-01-03 05:08:02,2024-11-07 04:37:31,0 days 10:08:34,36514,247237.93,969686.7352869761,1034422.6687118541,1045113.4368673314,541962.4138565224,1258446.3078363016,1061703.5130738164,4,36-48
10047,27,Ж,Волгоград,574,2021-12-29 01:46:34,2025-01-01 14:55:34,2024-12-09 14:42:27,0 days 10:39:25,38365,269691.12,793490.2489510111,928195.0137759887,755023.4641154204,733591.0923372525,1500204.047301109,935920.556409602,3,25-35
10048,33,Ж,Екатеринбург,562,2021-12-27 22:17:36,2025-01-02 11:04:36,2024-11-24 10:33:36,0 days 10:29:39,37779,287904.0,677167.3894408589,829403.0561485462,981324.6933061727,1023413.0081094967,1042134.233633633,1218970.4820910972,3,25-35
10049,63,Ж,Москва,560,2021-12-27 08:12:52,2025-01-02 20:52:38,2024-12-21 20:46:31,0 days 10:24:32,37472,257970.0,1158385.1110364667,885881.0424332963,906558.163145993,945836.9531551144,1137659.2675263998,730714.3066487971,6,>60
10050,38,М,Москва,552,2021-12-28 11:06:47,2025-01-02 22:48:19,2024-12-11 22:23:26,0 days 09:15:07,33307,226691.96,915781.6396852093,990493.1167891282,1010588.5204670462,617084.8522970995,995289.5371588664,738868.6356920425,4,36-48
10051,15,М,Казань,553,2021-12-30 00:44:22,2025-01-03 13:10:24,2024-12-21 13:05:55,0 days 10:00:32,36032,290004.0,1084155.7938110621,533353.236704518,861151.2240204928,987783.1323697832,899661.0341599251,928178.2410991155,1,<16
10052,28,М,Москва,568,2021-12-28 17:58:26,2025-01-01 06:59:18,2024-12-14 06:38:20,0 days 10:32:37,37957,150527.0,877256.85957904,1206732.6956059574,748933.2070338298,1083468.868000038,1175547.9169293381,735884.9703100878,3,25-35
10053,59,Ж,Москва,546,2022-01-01 09:29:57,2025-01-02 21:16:50,2024-12-26 21:11:39,0 days 09:23:36,33816,295033.0,776977.710511504,1139256.9069668497,1120591.0300331241,752693.0903322757,633347.0501410073,698290.5133032952,5,48-60
10054,18,Ж,Воронеж,578,2021-12-28 18:02:11,2025-01-01 08:15:16,2024-10-14 07:14:40,0 days 11:41:45,42105,281633.0,894451.6746413932,913499.7888225527,975320.5828482052,1243328.5864697709,1066154.2110200345,920312.8472266758,2,16-24
10055,65,М,Красноярск,545,2021-12-28 22:58:31,2025-01-03 11:00:31,2024-12-11 10:44:46,0 days 09:53:36,35616,298460.0,863389.1718702138,701700.0293540151,1204703.3274835784,748883.87645311,866633.2222651555,648684.2058419159,6,>60
10056,71,Ж,Москва,573,2021-12-28 12:03:36,2025-01-02 00:27:26,2024-12-29 00:20:47,0 days 09:58:31,35911,233254.0,768451.4928348502,776230.9511573358,1155347.3784639305,893879.1277852019,1244487.1467831652,880219.104438041,6,>60
10057,15,Ж,Волгоград,557,2021-12-29 19:25:09,2025-01-01 08:50:45,2024-11-22 08:26:02,0 days 11:01:52,39712,231285.0,722090.9321087073,1523368.2989092076,1178120.775017931,1040483.8293430544,800699.4042845857,1226541.4650861814,1,<16
10058,45,Ж,Самара,563,2021-12-30 19:22:18,2025-01-01 07:47:59,2024-12-07 07:35:20,0 days 10:14:09,36849,208941.0,841763.618898716,777434.086087554,875726.9925409259,1009094.4323317196,1128457.693443236,710194.3782749635,4,36-48
10059,36,Ж,Москва,556,2022-01-02 04:17:52,2025-01-03 16:49:31,2024-11-09 16:08:51,0 days 10:17:33,37053,216374.0,703208.7948069207,991438.4808611536,570560.0704614822,916858.9880349926,1423921.58768173,634077.1484261887,4,36-48
10060,14,М,Нижний Новгород,552,2021-12-31 01:38:26,2025-01-01 14:30:16,2024-12-22 14:25:08,0 days 10:43:08,38588,262729.03,949069.877146095,1157446.1776765403,752153.2754480353,1007421.4212172531,1004772.0571793844,1061860.5076101946,1,<16
10061,29,М,Нижний Новгород,569,2021-12-31 08:21:30,2025-01-03 20:19:25,2025-01-03 20:19:25,0 days 09:34:55,34495,277697.91000000003,750063.3969565631,751561.83001063,841723.9017044232,875373.8596501043,1224672.8312662416,802675.495635949,3,25-35
10062,69,Ж,Нижний Новгород,547,2021-12-28 15:45:13,2025-01-03 03:11:02,2024-12-19 02:58:06,0 days 09:14:51,33291,217467.0,665710.8027928342,885734.6437306099,763754.9173130561,1156812.9806747118,1071754.5367010217,464483.3977838352,6,>60
10063,77,М,Санкт-Петербург,578,2021-12-28 23:21:12,2025-01-03 11:39:19,2024-12-23 11:32:37,0 days 09:57:26,35846,224284.0,890586.6813531278,887493.7656617317,874821.8197078701,868146.3972721047,747750.8334813077,696569.9197805694,6,>60
10064,51,Ж,Екатеринбург,554,2021-12-31 02:53:58,2025-01-03 15:46:31,2025-01-03 15:45:21,0 days 10:23:04,37384,271613.01,630224.3310394189,1081696.6748218506,930328.6972259288,960167.6664950487,1174807.5290609803,712058.1706137812,5,48-60
10065,46,М,Нижний Новгород,560,2021-12-29 00:52:10,2025-01-02 13:13:38,2024-12-05 12:55:08,0 days 09:57:54,35874,224237.0,731461.2117186234,876279.8317968791,1079004.9525855444,770489.194659455,809927.6866349898,705597.5071784955,4,36-48
10066,26,Ж,Волгоград,560,2021-12-26 23:06:16,2025-01-02 12:05:21,2024-12-20 11:48:54,0 days 10:41:19,38479,335118.54000000004,774977.2119313227,1213812.6184509571,899273.0590605526,1096623.0006740694,1138276.5793342274,730921.6585254868,3,25-35
10067,20,Ж,Екатеринбург,554,2022-01-01 13:16:23,2025-01-03 01:34:38,2024-12-26 01:33:10,0 days 10:03:11,36191,479691.0,808982.9566000294,522323.2375167338,885976.8324259544,930233.6413405825,846589.8368981042,867835.7934298898,2,16-24
10068,61,М,Красноярск,562,2021-12-30 04:02:28,2025-01-03 16:02:41,2024-12-16 15:48:41,0 days 09:41:46,34906,317103.0,843677.1243371448,951131.709049794,797750.5093467974,731306.7187474965,711906.724692215,856524.5294222524,6,>60
